symbol,direction,regime,adx_value,signal_score,score_verdict,has_sweep,sweep_strength,has_bos,bos_type,has_ob,ob_valid,sl_source,result,pnl_pct,net_pnl_pct,win,rr,ema_strength,rsi_value,macd_hist_normalized,volume_ratio,created_at,entry_price,exit_price
LINK/USDT,SELL,trend,45.91624706766241,5,moderate,False,0.0,False,,False,False,atr,SL,-2.2282,-2.4282,False,1.0,-1.0,25.735218245214426,-0.330173,2.3773,2026-06-03 20:00:00+00:00,8.263,8.44711891
LINK/USDT,SELL,trend,39.07048261523013,5,moderate,False,0.0,False,,False,False,atr,TP,5.386,5.186,True,2.0,-1.0,28.937745533188007,-0.292943,1.8143,2026-06-05 05:00:00+00:00,7.821,7.39976006
LINK/USDT,SELL,range,49.30414024944392,5,moderate,False,0.0,False,,False,False,atr,TP,6.2924,6.0924,True,2.0,-1.0,29.41780848474098,-0.177594,1.5513,2026-06-05 13:00:00+00:00,7.598,7.1199064
LINK/USDT,SELL,compression,20.744693500138247,5,moderate,True,0.8,True,bullish,False,False,atr,SL,-1.0,-1.2,False,1.0,-0.5501416379837387,26.160902067615265,-0.082154,2.0457,2026-06-14 18:00:00+00:00,7.827,7.90527
LINK/USDT,SELL,range,24.297205133579162,5,moderate,False,0.0,False,,False,False,atr,SL,-1.8108,-2.0108,False,1.0,-0.8942480129081508,30.952946294448378,-0.117011,3.679,2026-06-18 04:00:00+00:00,7.965,8.10923091
ADA/USDT,SELL,trend,36.07582989851895,5,moderate,False,0.0,False,,False,False,structural,SL,-1.051,-1.251,False,1.0,-0.8773066694342397,20.975457170773144,-0.173248,5.2889,2026-01-16 15:00:00+00:00,0.3901,0.3942
ADA/USDT,SELL,range,31.394558010944166,3,weak,False,0.0,True,bearish,True,True,structural,SL,-1.0,-1.2,False,1.0,-0.4162768754049078,44.93365475843747,0.091596,0.5958,2026-01-20 00:00:00+00:00,0.3695,0.373195
ADA/USDT,SELL,expansion,38.98560403198951,5,moderate,False,0.0,False,,False,False,atr,TP,3.9436,3.7436,True,2.0,-1.0,18.0835404634126,-0.419964,2.0013,2026-01-29 18:00:00+00:00,0.3341,0.32092445
ADA/USDT,SELL,range,20.747161161311443,4,moderate,True,1.0,False,,True,True,atr,TP,6.2644,6.0644,True,2.0,-1.0,41.28463329587608,-0.071571,0.8018,2026-02-04 23:00:00+00:00,0.2843,0.26649028
ADA/USDT,SELL,expansion,36.12820601077564,5,moderate,False,0.0,False,,False,False,atr,TP,7.3044,7.1044,True,2.0,-1.0,17.36779128082846,-0.39199,3.0838,2026-02-05 15:00:00+00:00,0.2638,0.2445309
